Term;Anzahl
#CO2;112
#CO2Steuer;66
#climatechange;49
#EUelections2019;47
#EU;46
#europawahl2019;37
#VW;33
#sehenswert;29
#fridaysforfuture;28
#faktist;27
#europawahl;27
#EUWahl2019;26
#tagesschau24;26
#eAuto;21
#EP2019;21
