User;Count
GymCoachMac;17
Eyerish13;16
SearchingForTr9;16
gnod111;16
primfreak;15
kathy_levy;15
JeffreyHardin15;14
Pissed_Woman;14
atypicalblonde;14
Sekusa1;13
rawlings_cindy;13
spooner_lindsay;13
sueludad;13
AJHolland01;13
BarleyFields1;12
minamoradi2020;12
FLpalmtree1;12
trilingual1946;12
Pasha_Enrik;12
ProfSchlitzo7;12
AmericanMom2;12
lpbrown7;12
MaryFabulous3;11
all_sabrina;11
bettyblack176;11
