Term;Anzahl
#NATO;35
#kag;33
#tcot;30
#ccot;17
#FAUXnews;14
#trump;14
#RT;13
#WAKEUPAMERICA;8
#maga;7
#MAGAmemes;7
#toddlers;6
#EEUU;6
#moms;6
#BREAKING;5
